Key,Summary,Issue Type,Epic,Epic Name,Priority,Story Points,Milestone,Requirements,Depends On,Description,Acceptance Criteria
AITP-1,Technology-Katalog als Datenmodell einführen,Story,EP-01,Domänenmodell & Technology-Katalog,Must,5,M1,"FR-01, FR-02",,"Technology, Provider, Product, ProductVersion, Capability und Integration als typisierte Datenstrukturen in packages/catalog anlegen. Initial befüllt mit Microsoft/VS Code, GitHub/Copilot und einem zweiten Provider.","- Katalog liegt als JSON/YAML mit TypeScript-Typen und Schema vor
- GitHub Copilot ist als Integration mit hostProductId vscode modelliert
- Kein Hersteller taucht als Dateiname in der Codestruktur auf
- Katalog ist ohne Frontend-Build ladbar und testbar"
AITP-2,Lerninhaltshierarchie Curriculum/Course/Module/Scenario/Step modellieren,Story,EP-01,Domänenmodell & Technology-Katalog,Must,5,M1,"FR-03, FR-05",,"Fünfstufige Inhaltshierarchie einführen. Jedes Modul erhält genau eine learningLayer (tool, concept, ai_workflow). Szenarien referenzieren die Umgebung nur über environment.productId/version/runtimeAdapterId.","- Typen entsprechen docs/02-domaenenmodell.md §2.3
- Ein Szenario enthält keinerlei React- oder DOM-Bezug
- Bestehender Git/Copilot-Kurs ist in dieser Struktur abbildbar"
AITP-3,"Lernziele (LearningObjective) als eigenständige, referenzierbare Entität",Story,EP-01,Domänenmodell & Technology-Katalog,Should,3,M2,FR-06,AITP-2,"Lernziele modulübergreifend definieren, damit Nachweise und Curricula auf Zielen statt auf Szenario-IDs beruhen.","- Lernziele haben stabile IDs und Beschreibungen
- Szenarien referenzieren nur existierende Lernziele (CI-Prüfung)
- Ein Lernziel kann von mehreren Modulen adressiert werden"
AITP-10,Training Engine als eigenes Package ohne UI-Abhängigkeit,Story,EP-02,Training Engine,Must,8,M1,"FR-10, FR-18, NFR-07",,"packages/training-engine mit State Machine, Event Bus, Validator Registry und Session-Handling. Keine Abhängigkeit zu React, DOM oder Tailwind.","- Engine läuft in Node ohne Browser
- Zustände NOT_STARTED, ACTIVE, VALIDATION_FAILED, COMPLETED, SKIPPED implementiert
- Genau ein Schritt kann ACTIVE sein (per Test abgesichert)
- package.json enthält keine UI-Abhängigkeit"
AITP-11,Deklarative Validatoren implementieren,Story,EP-02,Training Engine,Must,5,M1,FR-12,AITP-10,"Validator-Typen event, state, sequence, all, any gemäß Domänenmodell. Registry-basiert, damit neue Validatortypen ohne Engine-Änderung ergänzt werden können.","- Alle fünf Typen mit Unit-Tests abgedeckt
- Ein neuer Validatortyp ist ohne Änderung der State Machine registrierbar"
AITP-12,Beinahe-Treffer-Erkennung (pass / near-miss / ignore),Story,EP-02,Training Engine,Must,5,M1,FR-13,AITP-11,"Validatoren liefern dreiwertiges Ergebnis. Nur near-miss erzeugt eine Fehlermeldung im Guide-Panel, damit Nutzer nicht bei jeder beliebigen Aktion getadelt werden. Beispiel: file.created mit falschem Namen = near-miss, editor.selection.changed = ignore.","- Falscher Dateiname erzeugt die konfigurierte onFailure-Meldung
- Irrelevante Events erzeugen keinerlei Nutzerfeedback
- Fehlversuche werden gezählt, kosten aber keine Punkte"
AITP-13,Endzustands-Validierung für den Challenge-Modus,Story,EP-02,Training Engine,Must,5,M2,FR-14,"AITP-11, AITP-22",Im Challenge-Modus prüft die Engine per adapter.query() den Zielzustand statt der Event-Reihenfolge. Der Lösungsweg bleibt dem Nutzer überlassen.,"- Ein Challenge-Szenario ist auf mindestens zwei unterschiedlichen Wegen lösbar
- Kein Schritt erzwingt eine bestimmte Klickreihenfolge"
AITP-14,Session-Persistenz und exakte Wiederaufnahme,Story,EP-02,Training Engine,Must,8,M2,"FR-15, NFR-04","AITP-10, AITP-84","Fortschritt, Runtime-Snapshot, genutzte Hinweise und Fehlversuche persistieren. Zunächst LocalStorage, ab M2 serverseitig mit LocalStorage als Offline-Puffer.","- Nach Browser-Neustart wird derselbe Schritt mit demselben Workspace-Zustand angezeigt
- Wechsel des Geräts stellt den Serverstand her
- Konflikt lokal/server wird deterministisch aufgelöst (jüngster Serverstand gewinnt)"
AITP-15,Einheitliches TrainingEvent-Format und Event Bus,Story,EP-02,Training Engine,Must,3,M1,FR-11,,"TrainingEvent mit id, source, type, timestamp, sessionId, payload. Bus als In-Process-Implementierung hinter einem Interface, damit später WebSocket-Transport ohne Änderung der Konsumenten möglich ist.","- Kanonische Event-Typen aus dem Domänenmodell sind als Union-Typ definiert
- Der Bus ist hinter einem Interface gekapselt (Transport austauschbar)
- Jedes Event geht zusätzlich an eine Telemetrie-Senke"
AITP-16,Fortschritt nicht mehr über Weiter-Button auslösen,Chore,EP-02,Training Engine,Must,3,M1,FR-11,AITP-10,"Bestehende POC-Logik prüfen und alle Stellen entfernen, an denen ein Schritt allein durch einen Weiter-Button abgeschlossen wird. Ausnahme: reine Lese-/Erklärschritte.","- Jeder Handlungsschritt wird ausschließlich durch ein Runtime-Event abgeschlossen
- Erklärschritte sind explizit als solche markiert"
